Music;Artist;Text;Url;Search Status
SkylinePigeon;EltonJohn;Turn me loose from your hands Let me fly to distant lands Over green fields, trees and mountains Flowers and forest fountains Home along the lanes of the skyway   For this dark and lonely room Projects a shadow cast in gloom And my eyes are mirrors Of the world outside Thinking of the way That the wind can turn the tide And these shadows turn From purple into gray  For just a Skyline Pigeon Dreaming of the open Waiting for the day He can spread his wings And fly away again  Fly away skyline pigeon fly Towards the dreams You've left so very far behind (repeat)  Let me wake up in the morning To the smell of new mown hay To laugh and cry, to live and die In the brightness of my day  I want to hear the pealing bells Of distant churches sing But most of all please free me From this aching metal ring And open out this cage towards the sun  For just a Skyline Pigeon Dreaming of the open Waiting for the day He can spread his wings And fly away again  Fly away skyline pigeon fly Towards the dreams You've left so very far behind (repeat);https://api.vagalume.com.br/search.php?art= Elton John &mus=Skyline-Pigeon&apikey=dc668952146a4a25b6d06586e7b69708;aprox
MeuCaroAmigo;ChicoBuarque;Meu caro amigo me perdoe, por favor Se eu não lhe faço uma visita Mas como agora apareceu um portador Mando notícias nessa fita Aqui na terra 'tão jogando futebol Tem muito samba, muito choro e rock'n' roll Uns dias chove, noutros dias bate sol Mas o que eu quero é lhe dizer que a coisa aqui tá preta Muita mutreta pra levar a situação Que a gente vai levando de teimoso e de pirraça E a gente vai tomando, que também, sem a cachaça Ninguém segura esse rojão  Meu caro amigo eu não pretendo provocar Nem atiçar suas saudades Mas acontece que não posso me furtar A lhe contar as novidades Aqui na terra 'tão jogando futebol Tem muito samba, muito choro e rock'n' roll Uns dias chove, noutros dias bate sol Mas o que eu quero é lhe dizer que a coisa aqui tá preta É pirueta pra cavar o ganha-pão Que a gente vai cavando só de birra, só de sarro E a gente vai fumando que, também, sem um cigarro Ninguém segura esse rojão  Meu caro amigo eu quis até telefonar Mas a tarifa não tem graça Eu ando aflito pra fazer você ficar A par de tudo que se passa Aqui na terra 'tão jogando futebol Tem muito samba, muito choro e rock'n' roll Uns dias chove, noutros dias bate sol Mas o que eu quero é lhe dizer que a coisa aqui tá preta Muita careta pra engolir a transação E a gente tá engolindo cada sapo no caminho E a gente vai se amando que, também, sem um carinho Ninguém segura esse rojão  Meu caro amigo eu bem queria lhe escrever Mas o correio andou arisco Se me permitem, vou tentar lhe remeter Notícias frescas nesse disco Aqui na terra 'tão jogando futebol Tem muito samba, muito choro e rock'n' roll Uns dias chove, noutros dias bate sol Mas o que eu quero é lhe dizer que a coisa aqui tá preta A Marieta manda um beijo para os seus Um beijo na família, na Cecília e nas crianças O Francis aproveita pra também mandar lembranças A todo pessoal Adeus   1976 © by Trevo Editora Musical Ltda;https://api.vagalume.com.br/search.php?art= Chico Buarque &mus=Meu-Caro-Amigo&apikey=dc668952146a4a25b6d06586e7b69708;aprox
Youlightupmylife;DebbyBoone;So many nights I sit by my window Waiting for someone to sing me his song So many dreams I kept deep inside me Alone in the dark but now you´ve come along  CHORUS: You light up my life You give me hope To carry on You light up my days and fill my nights with song  Rollin´ at sea, adrift on the water Could it be finally I´m turning for home? Finally, a chance to say hey, I love You Never again to be all alone  chorus twice  It can´t be wrong When it feels so right ´Cause You You light up my life;https://api.vagalume.com.br/search.php?art= Debby Boone &mus=You-light-up-my-life&apikey=dc668952146a4a25b6d06586e7b69708;aprox
YellowRiver;Christie;So long boy you can take my place, got my papers I've got my pay So pack my bags and I'll be on my way to yellow river Put my guns down the war is won Fill my glass high the time has come I'm going back to the place that I love yellow river  Yellow river yellow river is in my mind and in my eyes Yellow river yellow river is in my blood it's the place I love Got no time for explanation got no time to lose Tomorrow night you'll find me Sleeping underneath the moon at yellow river  Cannon fire lingers in my mind I'm so glad that I'm still alive And I've been gone for such a long time from yellow river I remember the nights were cool I can still see the water pool And I remember the girl that I knew from yellow river  Yellow river yellow river is in my mind and in my eyes Yellow river yellow river is in my blood it's the place I love Got no time for explanation got no time to lose Tomorrow night you'll find me Sleeping underneath the moon at yellow river  Yellow river yellow river is in my mind and in my eyes Yellow river yellow river is in my blood it's the place I love ;https://api.vagalume.com.br/search.php?art= Christie &mus=Yellow-River&apikey=dc668952146a4a25b6d06586e7b69708;exact
Killingmesoftly;RobertaFlack;Struming my pain with his fingers Singing my life with his words Killing me softly with his song Killing me softly with his song Telling my whole life With his words Killing me softly with his song  I heard he sang a good song I heard he had a style And so I came to see And listen for a while  And there he was this young Boy A stranger to my eyes Struming my pain with his fingers Singing my life with his words Killing me softy with his song Killing me softly with his song Telling my whole life With his words Killing me softly with his song  I felt all flushed with fever Embarrassed by the crowd I felt he found my letter And read each one out loud I prayed that he would finish But he just kept right on  Struming my pain with his fingers Singing my life with his words Killing me softy with his song Killing me softly with his song Telling my whole life With his words Killing me softly with his song  He sang as if he knew me In all my dark despair And then he looked right through me As if I wasn't there And he just kept on singing Singing clear and strong  Struming my pain with his fingers Singing my life with his words Killing me softy with his song Killing me softly with his song Telling my whole life With his words Killing me softly with his song  Ohhhhhhhhhhh oohhhhhhh...Lalalal..Ohhhh lalaaaaaaa  Struming my pain with his fingers Singing my life with his words Killing me softy with his song Killing me softly with his song Telling my whole life With his words Killing me (softly)  He was strumming my pain Yeah he was singing my life Killing me softly with his song Killing me softly with his song Telling my whole life with his words Killing me softly with his song;https://api.vagalume.com.br/search.php?art= Roberta Flack &mus=Killing-me-softly&apikey=dc668952146a4a25b6d06586e7b69708;exact
NightFever;BeeGees;Listen to the ground: there is movement all around. There is something goin' down, and I can feel it. On the waves of the air, there is dancin' out there. If it's somethin' we can share, we can steal it.  And that sweet city woman, she moves through the light, Controlling my mind and my soul. When you reach out for me, yeah, and the feelin' is right,  The night fever, night fever: we know how to do it. Gimme the night fever, night fever: we know how to show it.  Here I am, prayin' for this moment to last, Livin' on the music so fine, born on the wind, Makin' it mine.  The night fever, night fever: we know how to do it. Gimme the night fever, night fever: we know how to show it. In the heat of our love, don't need no help for us to make it. Gimme just enough takin' us to the mornin'. I got fire in my mind. I get higher in my walkin',  And I'm glowin' in the dark; I give you warnin'.  And that sweet city woman, she moves through the light, Controlling my mind and my soul. When you reach out for me, yeah, and the feelin' is right,  The night fever, night fever: we know how to do it. Gimme the night fever, night fever: we know how to show it.  Here I am, prayin' for this moment to last, Livin' on the music so fine, born on the wind, Makin' it mine.  Night fever, night fever: we know how to do it. Gimme the night fever, night fever: we know how to show it. Gimme the night fever, night fever: we know how to do it. Gimme the night fever, night fever: we know how to show it.;https://api.vagalume.com.br/search.php?art= Bee Gees &mus=Night-Fever&apikey=dc668952146a4a25b6d06586e7b69708;aprox
GostavaTantodeVoce;TimMaia;Não sei porque você se foi Quantas saudades eu senti E de tristezas vou viver E aquele adeus não pude dar...  Você marcou em minha vida Viveu, morreu Na minha história Chego a ter medo do futuro E da solidão Que em minha porta bate...  E eu! Gostava tanto de você Gostava tanto de você...  Eu corro, fujo desta sombra Em sonho vejo este passado E na parede do meu quarto Ainda está o seu retrato Não quero ver pra não lembrar Pensei até em me mudar Lugar qualquer que não exista O pensamento em você...  E eu! Gostava tanto de você Gostava tanto de você...  Não sei porque você se foi Quantas saudades eu senti E de tristezas vou viver E aquele adeus não pude dar...  Você marcou em minha vida Viveu, morreu Na minha história Chego a ter medo do futuro E da solidão Que em minha porta bate...  E eu! Gostava tanto de você Gostava tanto de você...  Eu corro, fujo desta sombra Em sonho vejo este passado E na parede do meu quarto Ainda está o seu retrato Não quero ver pra não lembrar Pensei até em me mudar Lugar qualquer que não exista O pensamento em você...  E eu! Gostava tanto de você Gostava tanto de você...;https://api.vagalume.com.br/search.php?art= Tim Maia &mus=Gostava-Tanto-de-Voce&apikey=dc668952146a4a25b6d06586e7b69708;aprox
HowDeepIsYourLove;BeeGees;I know your eyes in the morning sun I feel you touch me in the pouring rain And the moment which you wander far from me I wanna feel you in my arms again  And you come to me on a summer breeze Keep me warm in your love then you softly leave And it's me you need to show How deep is your love  How deep is your love, how deep is your love I really need to learn 'Cause we're living in a world of fools Breaking us down When they all should let us be We belong to you and me  I believe in you And you know the door to my very soul You're the light in the deepest darkest hour You're my savior when I fall  And you may not think That I care for you When you know down inside that I really do And it's me you need to show How deep is your love  How deep is your love, how deep is your love I really need to learn 'Cause we're living in a world of fools Breaking us down When they all should let us be We belong to you and me  And you come to me on a summer breeze Keep me warm in your love then you softly leave And it's me you need to show How deep is your love  How deep is your love, how deep is your love I really need to learn 'Cause we're living in a world of fools Breaking us down When they all should let us be We belong to you and me  How deep is your love, how deep is your love I really need to learn 'Cause we're living in a world of fools Breaking us down When they all should let us be We belong to you and me;https://api.vagalume.com.br/search.php?art= Bee Gees &mus=How-Deep-Is-Your-Love&apikey=dc668952146a4a25b6d06586e7b69708;aprox
AloneAgain;GilbertO’Sullivan;undefined;https://api.vagalume.com.br/search.php?art= Gilbert O’Sullivan &mus=Alone-Again&apikey=dc668952146a4a25b6d06586e7b69708;requestError
CharlieBrown;BenitoDiPaula;Eh! Meu amigo Charlie Eh! Meu amigo Charlie Brown, Charlie Brown Se você quiser, vou lhe mostrar A nossa São Paulo, terra da garoa Se você quiser, vou lhe mostrar Bahia de Caetano, nossa gente boa Se você quiser, vou lhe mostrar A lebre mais bonita do Imperial Se você quiser, vou lhe mostrar Meu Rio de Janeiro, nosso carnaval Eh! Meu amigo Charlie Eh! Meu amigo Charlie Brown, Charlie Brown Se você quiser, vou lhe mostrar                                Vinícius de Moraes e o som de Jorge Ben Se você quiser, vou lhe mostrar Torcida do Flamengo, coisa igual não tem Eh! Meu amigo Charlie Eh! Meu amigo Charlie Brown, Charlie Brown Se você quiser, vou lhe mostrar Luiz Gonzaga, rei do meu baião Se você quiser, vou lhe mostrar Brasil de Ponta a ponta do meu coração;https://api.vagalume.com.br/search.php?art= Benito Di Paula &mus=Charlie-Brown&apikey=dc668952146a4a25b6d06586e7b69708;aprox
RockAndRollLullaby;B.J.Thomas;She was  just sixteen and all alone When I came to be So we grew up together My mama child and me Now things were bad and she was scared But whenever I would cry She'd calm my fears and dry my tears With a rock and roll lullaby  When she would sing sha na na na na na na na ... It will be all right sha na na na na na.... Sha na na na na na na na ... Now just hold on tight  Sing it to me mama (mama mama ma) Sing it sweet and clear, oh! Mama let me hear that old rock and roll lullaby  We made it through the lonely days But Lord the nights were long And we'd dream of better moments When mama sang her song Now I can't recall the words at all It don't make sense to try 'Cause I just knew lots of love came thru In that rock and roll lullaby  And she'd sing sha na na na na na na na It will be all right Sha na na na na na na na Now just hold on tigh  I can hear you mama, mama, mama, mama nothing moves my soul like the sound of the good old rock and roll lullaby;https://api.vagalume.com.br/search.php?art= B.J.Thomas &mus=Rock-And-Roll-Lullaby&apikey=dc668952146a4a25b6d06586e7b69708;aprox
ANoiteVaiChegar;LadyZu;undefined;https://api.vagalume.com.br/search.php?art= Lady Zu &mus=A-Noite-Vai-Chegar&apikey=dc668952146a4a25b6d06586e7b69708;song_notfound
OVira;SecoseMolhados;O gato preto cruzou a estrada Passou por debaixo da escada. E lá no fundo azul na noite da floresta. A lua iluminou a dança, a roda, a festa. Vira, vira, vira Vira, vira, vira homem, vira, vira Vira, vira, lobisomen Vira, vira, vira Vira, vira, vira homem, vira, vira Bailam corujas e pirilampos entre os sacis e as fadas. E lá no fundo azul na noite da floresta. A lua iluminou a dança, a roda, a festa. Vira, vira, vira Vira, vira, vira homem, vira, vira Vira, vira, lobisomen Vira, vira, vira Vira, vira, vira homem, vira, vira Bailam corujas e pirilampos entre os sacis e as fadas. E lá no fundo azul na noite da floresta. A lua iluminou a dança, a roda, a festa. Vira, vira, vira Vira, vira, vira homem, vira, vira Vira, vira, lobisomen Vira, vira, vira Vira, vira, vira homem, vira, vira;https://api.vagalume.com.br/search.php?art= Secos e Molhados &mus=O-Vira&apikey=dc668952146a4a25b6d06586e7b69708;aprox
SeverinaXique-Xique;GenivalLacerda;Quem não conheçe Severina Xique-xique, que botou uma butique para vida melhorar. Pedro Caroço, filho de Zé vagamela, passa o dia na esquina fazendo aceno para ela.  Ele tá de olho é na butique dela! Ele tá de olho é na butique dela! Ele tá de olho é na butique dela! Ele tá de olho é na butique dela!  Antigamente Severina, coitadinha, era muito pobrezinha, ninguém quis le namorar. Mas hoje em dia só porque tem uma butique, pensando em lhe dar trambique, Pedro quer lhe paqueirar, haih.  Refrão  A severina não dá confiança, Pedro, eu acho que'la tem medo de perder o que arranjou. Pedro Caroço é insistente, não desiste, na vontade ele persiste, finge que se apaixonou, haih.  Refrão  Severina, minha filha não vai na onda de Pedro. Olha! ele só tem interesse em você, sabe porquê? Por que você tem uma botique, minha filha! Agora você querendo um sócio, olha aqui seu Babá. Hahahahai... passa-lá Severina! Lá ta tão bonzinho agora! Oh meu Deus, xau!.  Refrão  O Severina, como é?Resolve minha filha! Se quiser, pisiu, passa-lá! Hahai... Ai Jesus, olha se tu não vier já tem uma loira! Dona Graça ta lá! hiheiiehee ai, xau!.;https://api.vagalume.com.br/search.php?art= Genival Lacerda &mus=Severina-Xique-Xique&apikey=dc668952146a4a25b6d06586e7b69708;aprox
Umavidasó(Paredetomarapilula);OdairJosé;undefined;https://api.vagalume.com.br/search.php?art= Odair Jose &mus=Uma-vida-so-(Pare-de-tomar-a-pilula)&apikey=dc668952146a4a25b6d06586e7b69708;song_notfound
Feelings;MorrisAlbert;Feelings Nothing more than feelings Trying to forget my feelings of love Tear drops  Rolling down on my face Trying to forget my feelings of love Feelings  For all my life for feelings I wish I'd never met you girl You'll never come again Feeling  O o o feelings O o o feel you again in my arms Feelings  Feelings like. l never lost you And feelings like I'll never have you Again in my heart Feelings  1 For all my life I'll feel it I wish I'd never met you girl You'll never come again  Feelings  Feelings like I never lost you And feelings like I'll never have you Again in my heart Feelings  O o o feelings O o o feel you again in my arms;https://api.vagalume.com.br/search.php?art= Morris Albert &mus=Feelings&apikey=dc668952146a4a25b6d06586e7b69708;exact
ArrombouAFesta;RitaLeeeTuttiFrutti;undefined;https://api.vagalume.com.br/search.php?art= Rita Lee e Tutti Frutti &mus=Arrombou-A-Festa&apikey=dc668952146a4a25b6d06586e7b69708;notfound
SoleySoley;MiddleOfTheRoad;Just a little bit lonely just a little bit sad I was feeling so empty until you came back until you came back until you came back.  Oh Soley Soley Soley Soley Soley Soley Oh Soley Soley Soley ley Soley Soley Soley ley Soley Soley.  Just a little bit closer can you lay by my side can we get it together lazing in the sand lazing in the sand lazing in the sand.  Oh Soley Soley...;https://api.vagalume.com.br/search.php?art= Middle Of The Road &mus=Soley-Soley&apikey=dc668952146a4a25b6d06586e7b69708;aprox
Moça;Wando;Moça me espere amanhã levo o meu coração  Pronto pra te entregar Moça moça eu te prometo eu me viro do avesso  Só pra te abraçar Moça sei que já não é pura   Teu passado é tão forte pode até machucar Moça, dobre as mangas do tempo  Jogue o teu sentimento todo em minhas mãos  Eu quero me enrolar nos teus cabelos Abraçar teu corpo inteiro   Morrer de amor de amor me perder;https://api.vagalume.com.br/search.php?art= Wando &mus=Moca&apikey=dc668952146a4a25b6d06586e7b69708;exact
Voufestejar;BethCarvalho;Chora, não vou ligar Chegou a hora Vais me pagar Pode chorar, pode chorar És, o teu castigo Brigou comigo  Sem ter por que Vou festejar, vou festejar O teu sofrer, o teu penar Você pagou com traição A quem sempre lhe deu a mão Você pagou com traição A quem sempre lhe deu a mão;https://api.vagalume.com.br/search.php?art= Beth Carvalho &mus=Vou-festejar&apikey=dc668952146a4a25b6d06586e7b69708;aprox
I’mnotinlove;10cc;undefined;https://api.vagalume.com.br/search.php?art= 10cc &mus=I’m-not-in-love&apikey=dc668952146a4a25b6d06586e7b69708;requestError
GoodbyeYellowBrickRoad;EltonJohn;When are you going to come down? When are you going to land? I should have stayed on the farm, I should have listened to my old man.  You know you can't hold me forever, I didn't sign up with you. I'm not a present for your friends to open, This boy's too young to be singing the blues.  So goodbye yellow brick road, Where the dogs of society howl. You can't plant me in your penthouse, I'm going back to my plough.  Back to the howling old owl in the woods, Hunting the horny back toad. Oh I've finally decided my future lies Beyond the yellow brick road ahhhh ahhh ahhh ahhh  What do you think you'll do then? I bet that'll shoot down your plane. It'll take you a couple of vodka and tonics To set you on your feet again  Maybe you'll get a replacement, There's plenty like me to be found. Mongrels, who ain't got a penny, Sniffing for tid-bits like you on the ground ahhhh ahhh ahhh ahhh  So goodbye yellow brick road, Where the dogs of society howl. You can't plant me in your penthouse, I'm going back to my plough.  Back to the howling old owl in the woods, Hunting the horny back toad. Oh I've finally decided my future lies Beyond the yellow brick road ahhhh ahhh ahhh ahhh ahhhh ahhh ahhh ahhh;https://api.vagalume.com.br/search.php?art= Elton John &mus=Goodbye-Yellow-Brick-Road&apikey=dc668952146a4a25b6d06586e7b69708;aprox
BestOfMyLove;TheEmotions;undefined;https://api.vagalume.com.br/search.php?art= The Emotions &mus=Best-Of-My-Love&apikey=dc668952146a4a25b6d06586e7b69708;song_notfound
LeFreak;Chic;(Chorus:) Aaahh Freak out! Le Freak, C'est Chic Freak out! Aaahh Freak out! Le Freak, C'est Chic Freak out! Aaahh Freak out! Le Freak, C'est Chic Freak out! Aaahh Freak out! Le Freak, C'est Chic Freak out!  Have you heard about the new dance craze? Listen to us, I'm sure you'll be amazed Big fun to be had by everyone It's up to you, It surely can be done Young and old are doing it, I'm told Just one try, and you too will be sold It's called Le Freak! They're doing it night and day Allow us, we'll show you the way  (Chorus)  All that pressure got you down Has your head spinning all around Feel the rhythm, check the rhyme Come on along and have a real good time Like the days of stopping at the Savoy Now we freak, oh what a joy Just come on down, to the Fifty-four Find a spot out on the floor  (Chorus)  Now Freak! I said Freak! Now Freak!  All that pressure got you down Has your head spinning all around Feel the rhythm, check the ride Come on along and have a real good time Like the days of stopping at the Savoy Now we freak, oh what a joy Just come on down, two fifty four Find a spot out on the floor  (Chorus);https://api.vagalume.com.br/search.php?art= Chic &mus=Le-Freak&apikey=dc668952146a4a25b6d06586e7b69708;exact
OMestre-SaladosMares;ElisRegina;Há muito tempo, nas águas da Guanabara O dragão do mar reapareceu Na figura de um bravo feiticeiro A quem a história não esqueceu  Conhecido como navegante negro Tinha a dignidade de um mestre-sala E ao acenar pelo mar na alegria das regatas Foi saudado no porto pelas mocinhas francesas Jovens polacas e por batalhões de mulatas  Rubras cascatas jorravam das costas dos santos  Entre cantos e chibatas Inundando o coração do pessoal do porão Que, a exemplo do feiticeiro, gritavam então  Glória aos piratas! Às mulatas! Às sereias! Glória à farofa! À cachaça! Às baleias! Glória a todas as lutas inglórias Que através da nossa história Não esquecemos jamais Salve o navegante negro! Que tem por monumento, as pedras pisadas do cais.  Mas faz muito tempo...;https://api.vagalume.com.br/search.php?art= Elis Regina &mus=O-Mestre-Sala-dos-Mares&apikey=dc668952146a4a25b6d06586e7b69708;aprox
WhenINeedYou;LeoSayer;Writers: Albert Hammond & Carol Bayer Sager  when I need you  I just close my eyes and I'm with you  and all that I so want to give you  It's only a heartbeat away   when I need love  I hold out my hands and I touch love  I never knew there was so much love  keeping me warm night and day   miles and miles of empty space in between us  the telephone can't take the place of your smile  but you know I won't be travelin' forever  it's cold out, but hold out, and do like I do  when I need you  I just close my eyes and I'm with you  and all that I so wanna give you babe  it's only a heartbeat away   it's not easy when the road is your driver  honey that's a heavy load that we bear  but you know I won't be traveling a lifetime  it's cold out but hold out and do like I do  oh, I need you   when I need love  I hold out my hands and I touch love  I never knew there was so much love  keeping me warm night and day   when I need you  I just close my eyes  and you're right here by my side  keeping me warm night and day   I just hold out my hands  I just hold out my hand  and I'm with you darlin'  yes, I'm with you darlin'  all I wanna give you  it's only a heartbeat away  ;https://api.vagalume.com.br/search.php?art= Leo Sayer &mus=When-I-Need-You&apikey=dc668952146a4a25b6d06586e7b69708;aprox
IWillSurvive;GloriaGaynor;At first I was afraid, I was petrified, Kept' thinkin' I could never live Without you by my side, But then I spent so many nights Thinkin' how you did me wrong, And I grew strong, and I learned how to get along,  And so you're back, from outer space, I just walked in to find you here With that sad look upon your face, I should've changed that stupid lock, I should've made you leave your key, If I had known for just one second You'd be back to bother me,  Go on, now go, walk out the door, Just turn around now, cause you're not welcome anymore, Weren't you the one who tried to hurt me with goodbye, Do you think I'd crumble, Do you think I'd lay down and die, Oh no not I, I will survive, For as long as I know how to love I know I'll stay alive, I've got all my life to live; I've got all my love to give, And I'll survive, I will survive, Hey, Hey!  It took all the strength I had not to fall apart, And trying hard to mend the pieces of my broken heart, And I spent oh so many nights just feeling sorry for myself, I used to cry, but now I hold my head up high, And you'll see me, somebody new, I'm not that chained up little person still in love with you, And so you felt like droppin' in And just expect me to be free, But now I'm savin' all my lovin' for someone who's lovin' me,  Go on, now go, walk out the door, Just turn around now, cause you're not welcome anymore, Weren't you the one who tried to break me with goodbye, Do you think I'd crumble, Do you think I'd lay down and die, Oh no not I, I will survive, For as long as I know how to love I know I'll stay alive, I've got all my life to live; I've got all my love to give, And I'll survive, I will survive, oh  oh, now go, walk out the door, Just turn around now, cause you're not welcome anymore, Weren't you the one who tried to break me with goodbye, Do you think I'd crumble, Do you think I'd lay down and die, Oh no not I, I will survive, For as long as I know how to love I know I'll stay alive, I've got all my life to live; I've got all my love to give, And I'll survive, I will survive, I will survive!;https://api.vagalume.com.br/search.php?art= Gloria Gaynor &mus=I-Will-Survive&apikey=dc668952146a4a25b6d06586e7b69708;aprox
Don’tLetMeBeMisunderstood;SantaEsmeralda,LeroyGomez;undefined;https://api.vagalume.com.br/search.php?art= Santa Esmeralda, Leroy Gomez &mus=Don’t-Let-Me-Be-Misunderstood&apikey=dc668952146a4a25b6d06586e7b69708;requestError
LeftSide;LikeaLocomotion;undefined;https://api.vagalume.com.br/search.php?art= Like a Locomotion &mus=Left-Side&apikey=dc668952146a4a25b6d06586e7b69708;notfound
YMCA;VillagePeople;Young man, there's no need to feel down. I said, young man, pick yourself off the ground. I said, young man, 'cause you're in a new town there's no need to be unhappy.  Young man, there's a place you can go. I said, young man, when you're short on your dough. You can stay there, and I'm sure you will find Many ways to have a good time.  It's fun to stay at the y-m-c-a. It's fun to stay at the y-m-c-a.  They have everything for you men to enjoy, You can hang out with all the boys ...  It's fun to stay at the y-m-c-a. It's fun to stay at the y-m-c-a.  You can get yourself cleaned, you can have a good meal, You can do whatever you feel ...  Young man, are you listening to me? I said, young man, what do you want to be? I said, young man, you can make real your dreams. But you got to know this one thing!  No man does it all by himself. I said, young man, put your pride on the shelf, And just go there, to the y.m.c.a. I'm sure they can help you today.  It's fun to stay at the y-m-c-a. It's fun to stay at the y-m-c-a.  They have everything for you men to enjoy, You can hang out with all the boys ...  It's fun to stay at the y-m-c-a. It's fun to stay at the y-m-c-a.  You can get yourself cleaned, you can have a good meal, You can do whatever you feel ...  Young man, I was once in your shoes. I said, I was down and out with the blues. I felt no man cared if I were alive. I felt the whole world was so tight ...  That's when someone came up to me, And said, young man, take a walk up the street. There's a place there called the y.m.c.a. They can start you back on your way.  It's fun to stay at the y-m-c-a. It's fun to stay at the y-m-c-a.  They have everything for you men to enjoy, You can hang out with all the boys ...  Y-m-c-a ... you'll find it at the y-m-c-a.  Young man, young man, there's no need to feel down. Young man, young man, get yourself off the ground.  Y-m-c-a ... you'll find it at the y-m-c-a.  Young man, young man, there's no need to feel down. Young man, young man, get yourself off the ground.  Y-m-c-a ... just go to the y-m-c-a.  Young man, young man, are you listening to me? Young man, young man, what do you wanna be?;https://api.vagalume.com.br/search.php?art= Village People &mus=YMCA&apikey=dc668952146a4a25b6d06586e7b69708;exact
Don’tGoBreakingMyHeart;EltonJohn;undefined;https://api.vagalume.com.br/search.php?art= Elton John &mus=Don’t-Go-Breaking-My-Heart&apikey=dc668952146a4a25b6d06586e7b69708;requestError
Tragedy;BeeGees;Instrumental  Here I lie in the lost and lonely part of town. Held in time in a world of tears I slowly drown. Goin' home I just can't take it all alone, I really should be holding you, holding you, Loving you, loving you.  Tragedy, when the feeling's gone And you can't go on, It's tragedy, when the morning cries And you don't know why, It's hard to bear with no-one to love you, You're goin' nowhere.  Tragedy, when you lose control And you got no soul, It's tragedy, when the morning cries And you don't know why, It's hard to bear with no-one beside you, You're goin' nowhere.  Instrumental  Night and day there's a burning down inside of me. Burning love with a yearning that won't let me be. Down I go and I just can't take it all alone. I really should be holding you, holding you, Loving you, loving you.  Tragedy, when the feeling's gone And you can't go on, It's tragedy, when the morning cries And you don't know why, It's hard to bear with no-one to love you, You're goin' nowhere.  Tragedy, when you lose control And you got no soul, It's tragedy, when the morning cries And you don't know why, It's hard to bear with no-one beside you, You're goin' nowhere.  Instrumental  Tragedy, when the feeling's gone And you can't go on, It's tragedy, when the morning cries And you don't know why, It's hard to bear with no-one to love you, You're goin' nowhere.  Tragedy, when you lose control And you got no soul, It's tragedy, when the morning cries And your heart just dies, It's hard to bear with no-one beside you, You're goin' nowhere.;https://api.vagalume.com.br/search.php?art= Bee Gees &mus=Tragedy&apikey=dc668952146a4a25b6d06586e7b69708;exact
RaindropsKeepFallin’OnMyHead;B.J.Thomas;undefined;https://api.vagalume.com.br/search.php?art= B.J.Thomas &mus=Raindrops-Keep-Fallin’-On-My-Head&apikey=dc668952146a4a25b6d06586e7b69708;requestError
Fly,Robin,Fly;SilverConvention;Fly Robin Fly Silver Convention  Fly, robin fly  Fly, robin fly  Fly, robin fly  Up, up to the sky   Fly, robin fly  Fly, robin fly  Fly, robin fly Up, up to the sky   [long instrumental]   Fly, robin fly  Fly, robin fly  Fly, robin fly  Up, up to the sky    Jrb/rio/br;https://api.vagalume.com.br/search.php?art= Silver Convention &mus=Fly,-Robin,-Fly&apikey=dc668952146a4a25b6d06586e7b69708;aprox
BridgeOverTroubledWater;SimoneGarfunkel;When you're weary Feeling small When tears are in your eyes I will dry them all  I'm on your side When times get rough And friends just can't be found Like a bridge over troubled water I will lay me down Like a bridge over troubled water I will lay me down  When you're down and out When you're on the street When evening falls so hard I will comfort you  I'll take your part When darkness comes And pain is all around Like a bridge over troubled water I Will lay me down Like a bridge over troubled water  I will lay me down  Sail on Silver Girl, Sail on by Your time has come to shine All your dreams are on their way  See how they shine If you need a friend I'm sailing right behind Like a bridge over troubled water I will ease your mind Like a bridge over troubled water I will ease your mind  Ah, ah, ah;https://api.vagalume.com.br/search.php?art= Simon e Garfunkel &mus=Bridge-Over-Troubled-Water&apikey=dc668952146a4a25b6d06586e7b69708;aprox
MacArthurPark;DonnaSummer;undefined;https://api.vagalume.com.br/search.php?art= Donna Summer &mus=MacArthur-Park&apikey=dc668952146a4a25b6d06586e7b69708;song_notfound
NuvemPassageira;HermesAquino;Eu sou nuvem passageira Que com o vento se vai Eu sou como um cristal bonito Que se quebra quando cai  Não adianta escrever meu nome numa pedra Pois esta pedra em pó vai se transformar Você não vê que a vida corre contra o tempo Sou um castelo de areia na beira do mar  Eu sou nuvem passageira Que com o vento se vai Eu sou como um cristal bonito Que se quebra quando cai  A lua cheia convida para um longo beijo Mas o relógio te cobra o dia de amanhã Estou sozinho, perdido e louco, no meu leito E a namorada analisada por sobre o divã  Eu sou nuvem passageira Que com o vento se vai Eu sou como um cristal bonito Que se quebra quando cai  Por isso agora o que eu quero é dançar na chuva Não quero nem saber de me fazer ou me matar Eu vou deixar em dia a vida e a minha energia Sou um castelo de areia na beira do mar.  Eu sou nuvem passageira Que com o vento se vai Eu sou como um cristal bonito Que se quebra quando cai  Eu sou nuvem passageira Que com o vento se vai Eu sou como um cristal bonito Que se quebra quando cai  Eu sou nuvem passageira Que com o vento se vai Eu sou como um cristal bonito Que se quebra quando cai  Eu sou nuvem passageira Que com o vento se vai Eu sou como um cristal bonito Que se quebra quando cai;https://api.vagalume.com.br/search.php?art= Hermes Aquino &mus=Nuvem-Passageira&apikey=dc668952146a4a25b6d06586e7b69708;aprox
